Client Name,Account ID,Legal Entity,Currency,Payment Type,Paid Amount,Payment Date,Payment Status,Pending Amount,Comments
DEUTSCHE BANK,107026,CitiBank Singapore,USD,Deliver,7438182,2929-1111-19191919,Fully paid,9228298,Payment is in progress
BNY Mellon,105428,CitiBank HongKong,GBP,Receive,81262860,2222-0606-19191919,Rejected,3828042,Transaction complete
DEUTSCHE BANK,105907,CitiBank HongKong,CAD,Receive,41895486,1111-1010-19191919,Partially Paid,6281217,Transaction complete
J P Morgan,109582,CitiBank London,"EUR,",Deliver,89730308,2222-0808-19191919,Processing,43927,Payment Failed
HSBC,108499,CitiBank HongKong,GBP,Receive,44466498,2020-0505-20202020,Fully paid,8164595,Transaction complete
BNY Mellon,100028,CitiBank London,"EUR,",Receive,85880133,3030-0303-20202020,Fully paid,145796,Payment Failed
J P Morgan,101201,CitiBank HongKong,"EUR,",Deliver,11348513,1010-0606-19191919,Partially Paid,5160180,Payment Failed
J P Morgan,107737,CitiBank New York Branch,"EUR,",Receive,84854106,0707-1111-19191919,Fully paid,3948152,Waiting for pending amount
J P Morgan,102558,CitiBank London,GBP,Deliver,29427033,2020-0202-20202020,Processing,8995224,Payment is in progress
J P Morgan,106884,CitiBank Singapore,CAD,Deliver,44850143,1212-0909-19191919,Rejected,9935315,Transaction complete
HSBC,107293,CitiBank HongKong,CAD,Receive,9641335,2828-1010-19191919,Partially Paid,6818419,Payment is in progress
DEUTSCHE BANK,103171,CitiBank HongKong,CAD,Deliver,49975602,2222-0303-20202020,Processing,9335788,Transaction complete
BNY Mellon,108504,CitiBank HongKong,"EUR,",Deliver,79860410,0505-0101-20202020,Processing,4421444,Transaction complete
BNY Mellon,103894,CitiBank HongKong,"EUR,",Deliver,43329305,0606-0606-20202020,Rejected,3171687,Transaction complete
BNY Mellon,107881,CitiBank Singapore,GBP,Receive,78964503,2929-0808-19191919,Partially Paid,9261576,Waiting for pending amount
DEUTSCHE BANK,107937,CitiBank HongKong,USD,Deliver,90611502,2626-0101-20202020,Fully paid,6675029,Payment Failed
DEUTSCHE BANK,103065,CitiBank London,"EUR,",Deliver,6902135,0808-0404-20202020,Rejected,2947507,Transaction complete
DEUTSCHE BANK,109987,CitiBank HongKong,CAD,Receive,56164223,2222-0202-20202020,Partially Paid,4641977,Payment Failed
J P Morgan,103941,CitiBank London,"EUR,",Receive,17088358,1212-0505-20202020,Fully paid,8100916,Payment is in progress
BNY Mellon,102883,CitiBank London,CAD,Deliver,17652721,0101-1010-19191919,Fully paid,3234170,Payment is in progress
DEUTSCHE BANK,109807,CitiBank London,USD,Receive,1572725,0909-0404-20202020,Processing,7791472,Transaction complete
J P Morgan,105577,CitiBank Singapore,"EUR,",Receive,19033076,1616-0707-19191919,Processing,3990943,Transaction complete
DEUTSCHE BANK,105325,CitiBank HongKong,"EUR,",Deliver,4113595,1212-0808-19191919,Fully paid,2237841,Waiting for pending amount
DEUTSCHE BANK,107395,CitiBank Singapore,"EUR,",Receive,3362063,2323-0707-19191919,Fully paid,8507157,Waiting for pending amount
HSBC,108822,CitiBank London,"EUR,",Deliver,58845402,0909-0707-19191919,Fully paid,6596430,Transaction complete
BNY Mellon,103185,CitiBank Singapore,CAD,Deliver,88652728,0404-0404-20202020,Fully paid,4912588,Transaction complete
DEUTSCHE BANK,103808,CitiBank New York Branch,USD,Deliver,69994958,1212-0404-20202020,Processing,410982,Payment is in progress
J P Morgan,100429,CitiBank HongKong,GBP,Receive,33769856,2323-1111-19191919,Rejected,3897529,Transaction complete
J P Morgan,102455,CitiBank HongKong,"EUR,",Receive,27671247,1313-0707-19191919,Processing,4992188,Payment is in progress
J P Morgan,109826,CitiBank HongKong,"EUR,",Receive,53256063,2626-0202-20202020,Rejected,8179055,Payment Failed
BNY Mellon,107305,CitiBank HongKong,USD,Receive,13182001,1818-0606-19191919,Fully paid,1271196,Transaction complete
BNY Mellon,103145,CitiBank New York Branch,GBP,Deliver,2255211,2222-1010-19191919,Processing,521105,Transaction complete
HSBC,109863,CitiBank Singapore,CAD,Deliver,46650123,1616-0606-19191919,Processing,3418977,Waiting for pending amount
BNY Mellon,109857,CitiBank London,CAD,Receive,24221483,2828-0202-20202020,Processing,380781,Payment Failed
DEUTSCHE BANK,106252,CitiBank London,GBP,Receive,74484156,1212-0505-19191919,Processing,6564050,Waiting for pending amount
J P Morgan,106561,CitiBank Singapore,CAD,Deliver,18542127,2929-0505-19191919,Processing,530132,Waiting for pending amount
HSBC,103999,CitiBank New York Branch,GBP,Receive,92246117,1414-0505-19191919,Fully paid,1505319,Transaction complete
