Client Name,Account ID,Legal Entity,Currency,Payment Type,Paid Amount,Payment Date,Payment Status,Pending Amount,Comments
J P Morgan,107507,CitiBank New York Branch,GBP,Deliver,83746011,2525-0505-19191919,Processing,5323453,Payment is in progress
HSBC,101620,CitiBank HongKong,GBP,Deliver,82426990,0202-0505-19191919,Fully paid,7457661,Payment Failed
DEUTSCHE BANK,104278,CitiBank HongKong,"EUR,",Deliver,99179041,0808-0404-20202020,Partially Paid,4843441,Transaction complete
HSBC,101247,CitiBank HongKong,"EUR,",Receive,31075514,1515-1111-19191919,Processing,6206590,Waiting for pending amount
HSBC,105739,CitiBank Singapore,GBP,Deliver,99056625,2828-0505-20202020,Fully paid,7831037,Payment is in progress
BNY Mellon,108551,CitiBank Singapore,USD,Deliver,48504476,2121-0303-20202020,Fully paid,441229,Payment Failed
J P Morgan,102999,CitiBank New York Branch,CAD,Receive,26667732,1111-0909-19191919,Processing,2069878,Payment is in progress
HSBC,109335,CitiBank Singapore,GBP,Receive,44730816,2626-0808-19191919,Partially Paid,4219569,Transaction complete
DEUTSCHE BANK,109255,CitiBank London,GBP,Receive,19524495,0505-0505-20202020,Rejected,6859498,Payment Failed
BNY Mellon,103744,CitiBank New York Branch,"EUR,",Receive,19254089,0101-0909-19191919,Partially Paid,3854550,Payment is in progress
J P Morgan,104514,CitiBank Singapore,CAD,Receive,74215856,2727-0303-20202020,Partially Paid,3399098,Waiting for pending amount
BNY Mellon,108554,CitiBank New York Branch,USD,Receive,83231980,3030-0505-19191919,Processing,6886961,Payment Failed
HSBC,108519,CitiBank HongKong,"EUR,",Receive,36211249,0101-0404-19191919,Partially Paid,4160525,Payment Failed
J P Morgan,108737,CitiBank HongKong,USD,Receive,45998702,0303-0707-19191919,Processing,3697112,Waiting for pending amount
BNY Mellon,109537,CitiBank London,GBP,Receive,80754480,1616-0606-19191919,Partially Paid,4591401,Payment Failed
HSBC,100293,CitiBank New York Branch,GBP,Deliver,97377922,0707-0404-19191919,Fully paid,6856172,Waiting for pending amount
DEUTSCHE BANK,102677,CitiBank HongKong,GBP,Deliver,95786674,2727-0303-20202020,Rejected,4161366,Payment Failed
J P Morgan,101483,CitiBank Singapore,"EUR,",Deliver,44741885,1818-0101-20202020,Processing,8327624,Transaction complete
HSBC,102211,CitiBank HongKong,CAD,Receive,27217244,0202-0303-20202020,Rejected,8917931,Transaction complete
DEUTSCHE BANK,106655,CitiBank Singapore,"EUR,",Receive,56309363,2323-1111-19191919,Rejected,1881948,Payment is in progress
J P Morgan,108154,CitiBank HongKong,"EUR,",Deliver,49754551,0707-0303-20202020,Fully paid,7308459,Transaction complete
HSBC,101513,CitiBank HongKong,"EUR,",Receive,45694984,2828-0707-19191919,Processing,1642350,Waiting for pending amount
BNY Mellon,102449,CitiBank London,CAD,Deliver,71855141,3030-0303-19191919,Partially Paid,3732756,Waiting for pending amount
HSBC,103395,CitiBank London,"EUR,",Deliver,76782960,0505-1111-19191919,Rejected,1849217,Transaction complete
BNY Mellon,101755,CitiBank HongKong,"EUR,",Deliver,96328952,1717-0404-20202020,Fully paid,8516776,Transaction complete
J P Morgan,101492,CitiBank HongKong,GBP,Deliver,58817270,2828-1010-19191919,Fully paid,1981252,Payment is in progress
BNY Mellon,104283,CitiBank Singapore,USD,Receive,6539739,2626-0707-19191919,Partially Paid,5340534,Payment is in progress
BNY Mellon,100000,CitiBank HongKong,USD,Receive,61956200,2121-0808-19191919,Partially Paid,5036476,Payment is in progress
DEUTSCHE BANK,108858,CitiBank Singapore,USD,Deliver,91819387,0909-0101-20202020,Processing,8190846,Payment is in progress
HSBC,107515,CitiBank New York Branch,GBP,Deliver,26138994,1111-0606-19191919,Partially Paid,3936237,Payment is in progress
BNY Mellon,107436,CitiBank New York Branch,CAD,Deliver,7480146,0303-0404-19191919,Rejected,5890695,Transaction complete
J P Morgan,100718,CitiBank HongKong,USD,Deliver,35417621,0808-1010-19191919,Processing,1211959,Payment Failed
DEUTSCHE BANK,106321,CitiBank Singapore,USD,Deliver,26901132,0606-0101-20202020,Fully paid,4690186,Transaction complete
