Client Name,Account ID,Legal Entity,Currency,Payment Type,Paid Amount,Payment Date,Payment Status,Pending Amount,Comments
BNY Mellon,101094,CitiBank HongKong,CAD,Receive,90059713,0606-0505-20202020,Fully paid,8602943,Payment Failed
J P Morgan,100414,CitiBank New York Branch,CAD,Receive,68162550,0808-0303-20202020,Fully paid,4391696,Payment is in progress
J P Morgan,104106,CitiBank New York Branch,CAD,Deliver,41360531,2424-0505-19191919,Processing,2985774,Payment Failed
J P Morgan,107761,CitiBank New York Branch,GBP,Receive,4442651,1313-1212-19191919,Partially Paid,673016,Payment Failed
DEUTSCHE BANK,107172,CitiBank HongKong,CAD,Deliver,25179292,2222-0303-20202020,Fully paid,978416,Payment Failed
J P Morgan,108003,CitiBank Singapore,GBP,Deliver,14725242,0909-1111-19191919,Fully paid,5071131,Payment is in progress
DEUTSCHE BANK,100765,CitiBank HongKong,USD,Receive,41199012,0404-0101-20202020,Rejected,1182900,Waiting for pending amount
J P Morgan,105874,CitiBank New York Branch,CAD,Deliver,71437702,2626-0404-19191919,Partially Paid,8117648,Waiting for pending amount
DEUTSCHE BANK,103571,CitiBank London,GBP,Deliver,2653806,0808-1010-19191919,Rejected,7397169,Transaction complete
BNY Mellon,104810,CitiBank Singapore,GBP,Receive,85608194,1212-0202-20202020,Fully paid,3124849,Transaction complete
DEUTSCHE BANK,105656,CitiBank Singapore,GBP,Receive,40469037,2828-0303-19191919,Rejected,3731968,Waiting for pending amount
DEUTSCHE BANK,109317,CitiBank London,CAD,Receive,68983808,0808-1010-19191919,Partially Paid,6167178,Payment is in progress
HSBC,100208,CitiBank New York Branch,CAD,Receive,41031822,0101-0404-20202020,Partially Paid,4517523,Payment is in progress
J P Morgan,109520,CitiBank HongKong,"EUR,",Receive,70649776,3030-0909-19191919,Fully paid,468653,Waiting for pending amount
BNY Mellon,109689,CitiBank Singapore,CAD,Receive,26184241,1717-0808-19191919,Processing,4623891,Payment is in progress
DEUTSCHE BANK,100418,CitiBank New York Branch,CAD,Deliver,60694352,2525-0202-20202020,Fully paid,9659089,Waiting for pending amount
HSBC,103593,CitiBank London,GBP,Deliver,73949484,1212-0404-19191919,Fully paid,1314879,Payment is in progress
J P Morgan,103674,CitiBank London,CAD,Deliver,27154672,2828-1111-19191919,Fully paid,7822484,Payment Failed
J P Morgan,101518,CitiBank New York Branch,CAD,Receive,76261218,2929-0303-20202020,Rejected,7945707,Payment Failed
BNY Mellon,100460,CitiBank New York Branch,"EUR,",Receive,85699393,3131-0303-19191919,Partially Paid,1089622,Waiting for pending amount
J P Morgan,101542,CitiBank HongKong,USD,Receive,39127787,0606-0101-20202020,Rejected,7204649,Payment Failed
BNY Mellon,106680,CitiBank Singapore,GBP,Receive,30893633,2121-0909-19191919,Partially Paid,4991047,Payment is in progress
HSBC,109937,CitiBank London,GBP,Deliver,70339758,3131-0101-20202020,Rejected,1513361,Waiting for pending amount
HSBC,108208,CitiBank Singapore,CAD,Deliver,38119234,3131-0101-20202020,Rejected,543308,Payment is in progress
DEUTSCHE BANK,102389,CitiBank Singapore,"EUR,",Deliver,44408278,1919-0707-19191919,Fully paid,3125603,Payment is in progress
BNY Mellon,104186,CitiBank London,USD,Receive,47366964,2828-0606-19191919,Rejected,1674906,Waiting for pending amount
J P Morgan,104999,CitiBank Singapore,"EUR,",Deliver,26859387,2525-0505-20202020,Processing,8855063,Transaction complete
BNY Mellon,105193,CitiBank Singapore,USD,Deliver,62840061,1414-0707-19191919,Partially Paid,2951096,Waiting for pending amount
BNY Mellon,102321,CitiBank HongKong,GBP,Receive,81520282,2323-1010-19191919,Fully paid,9740556,Transaction complete
BNY Mellon,100346,CitiBank Singapore,GBP,Deliver,30265602,0707-1111-19191919,Rejected,332905,Payment is in progress
J P Morgan,107500,CitiBank HongKong,USD,Receive,88056720,0404-1111-19191919,Fully paid,8166275,Payment Failed
J P Morgan,104602,CitiBank HongKong,CAD,Deliver,14277579,2828-0404-19191919,Fully paid,3737583,Payment is in progress
J P Morgan,109563,CitiBank Singapore,"EUR,",Receive,75011066,0101-0505-19191919,Rejected,8143544,Waiting for pending amount
BNY Mellon,106262,CitiBank London,"EUR,",Receive,52346873,0707-0202-20202020,Partially Paid,2373566,Waiting for pending amount
HSBC,102120,CitiBank London,GBP,Deliver,39529690,0606-0303-20202020,Partially Paid,4627074,Payment Failed
DEUTSCHE BANK,100345,CitiBank HongKong,USD,Receive,30139019,1414-0303-20202020,Rejected,9150905,Payment Failed
DEUTSCHE BANK,109791,CitiBank HongKong,"EUR,",Deliver,53694770,2020-0808-19191919,Fully paid,7823103,Payment Failed
HSBC,106455,CitiBank HongKong,USD,Receive,64452791,2626-0303-20202020,Fully paid,2616614,Waiting for pending amount
HSBC,103114,CitiBank New York Branch,"EUR,",Deliver,48237188,1818-0808-19191919,Rejected,641415,Waiting for pending amount
J P Morgan,109423,CitiBank New York Branch,CAD,Deliver,39732249,1414-1111-19191919,Partially Paid,2332058,Payment Failed
DEUTSCHE BANK,101762,CitiBank New York Branch,GBP,Receive,88102208,1616-0606-19191919,Rejected,4384617,Payment is in progress
HSBC,108153,CitiBank Singapore,CAD,Deliver,3970842,1717-0202-20202020,Rejected,6795967,Payment is in progress
BNY Mellon,103198,CitiBank New York Branch,CAD,Deliver,81028399,0909-0505-19191919,Partially Paid,2376571,Waiting for pending amount
BNY Mellon,105669,CitiBank HongKong,USD,Receive,35649715,0707-0404-19191919,Processing,3220573,Waiting for pending amount
J P Morgan,107420,CitiBank London,USD,Receive,49301574,1919-0101-20202020,Partially Paid,6434517,Transaction complete
BNY Mellon,107939,CitiBank HongKong,"EUR,",Receive,487369,3030-1111-19191919,Fully paid,2048635,Transaction complete
HSBC,102293,CitiBank Singapore,GBP,Deliver,69515807,0505-0505-19191919,Rejected,7807354,Payment Failed
BNY Mellon,102964,CitiBank London,GBP,Deliver,12208198,1717-0909-19191919,Fully paid,4476934,Payment is in progress
DEUTSCHE BANK,103104,CitiBank Singapore,USD,Receive,67340946,1414-0404-19191919,Rejected,8750730,Transaction complete
HSBC,100914,CitiBank Singapore,"EUR,",Receive,18505577,0707-0707-19191919,Processing,2250418,Payment Failed
