Client Name,Account ID,Legal Entity,Currency,Payment Type,Paid Amount,Payment Date,Payment Status,Pending Amount,Comments
BNY Mellon,104961,CitiBank Singapore,GBP,Deliver,52946291,0404-0404-20202020,Partially Paid,8757785,Payment is in progress
BNY Mellon,107587,CitiBank New York Branch,"EUR,",Receive,34644007,0707-0303-20202020,Processing,3342046,Payment Failed
J P Morgan,105205,CitiBank Singapore,USD,Receive,10124974,1515-0404-20202020,Processing,5192236,Waiting for pending amount
HSBC,105762,CitiBank London,GBP,Receive,99797636,1515-1111-19191919,Processing,1418637,Transaction complete
DEUTSCHE BANK,109821,CitiBank New York Branch,"EUR,",Receive,96588445,2727-0101-20202020,Rejected,6099290,Waiting for pending amount
BNY Mellon,107926,CitiBank London,USD,Receive,85332213,1919-0808-19191919,Processing,2035702,Payment Failed
DEUTSCHE BANK,103039,CitiBank Singapore,GBP,Deliver,39657702,0909-1111-19191919,Processing,7714861,Payment Failed
HSBC,102235,CitiBank New York Branch,GBP,Receive,44698067,0808-0505-20202020,Rejected,1548441,Payment is in progress
DEUTSCHE BANK,104029,CitiBank New York Branch,CAD,Receive,3155823,2828-0606-19191919,Partially Paid,612430,Payment is in progress
HSBC,104762,CitiBank New York Branch,"EUR,",Receive,19674118,3030-0505-19191919,Processing,7690794,Payment is in progress
J P Morgan,103842,CitiBank HongKong,"EUR,",Deliver,7536525,0303-0404-19191919,Partially Paid,2984263,Payment is in progress
J P Morgan,104797,CitiBank New York Branch,"EUR,",Receive,99743649,2323-0606-19191919,Rejected,1696759,Payment is in progress
J P Morgan,109779,CitiBank New York Branch,"EUR,",Receive,80517839,1616-1212-19191919,Processing,7391577,Payment Failed
BNY Mellon,109932,CitiBank HongKong,GBP,Receive,79963738,2727-1212-19191919,Fully paid,8666812,Payment is in progress
BNY Mellon,100588,CitiBank London,USD,Receive,64731796,2525-0606-19191919,Processing,166714,Payment Failed
J P Morgan,101080,CitiBank HongKong,"EUR,",Receive,92984663,1616-0404-20202020,Processing,7461722,Waiting for pending amount
BNY Mellon,103502,CitiBank Singapore,GBP,Receive,66675116,2222-0101-20202020,Processing,9629227,Payment is in progress
HSBC,104502,CitiBank New York Branch,CAD,Deliver,67207258,0505-0606-20202020,Partially Paid,6045236,Payment Failed
BNY Mellon,101582,CitiBank Singapore,CAD,Receive,84251797,3030-0404-20202020,Partially Paid,5885868,Transaction complete
BNY Mellon,106037,CitiBank New York Branch,USD,Deliver,52179562,0404-1212-19191919,Rejected,2790764,Payment Failed
DEUTSCHE BANK,106939,CitiBank London,CAD,Deliver,86356318,0808-0505-20202020,Partially Paid,5101214,Waiting for pending amount
BNY Mellon,106357,CitiBank Singapore,GBP,Deliver,34953035,3030-0505-19191919,Fully paid,2164989,Waiting for pending amount
HSBC,102875,CitiBank Singapore,GBP,Deliver,4705005,0202-0707-19191919,Rejected,1717333,Payment is in progress
HSBC,100089,CitiBank New York Branch,CAD,Deliver,60566907,2323-1010-19191919,Fully paid,6293537,Waiting for pending amount
DEUTSCHE BANK,109743,CitiBank New York Branch,GBP,Deliver,68128819,2727-0202-20202020,Processing,7142434,Payment Failed
BNY Mellon,104530,CitiBank HongKong,"EUR,",Receive,79335104,1919-0404-20202020,Rejected,1151348,Waiting for pending amount
DEUTSCHE BANK,103305,CitiBank London,"EUR,",Receive,69602970,1212-0808-19191919,Partially Paid,298765,Transaction complete
DEUTSCHE BANK,109272,CitiBank London,GBP,Deliver,14094732,1616-1212-19191919,Fully paid,7667072,Waiting for pending amount
HSBC,104984,CitiBank London,GBP,Deliver,34644650,1111-0505-19191919,Processing,6554331,Payment is in progress
HSBC,104084,CitiBank HongKong,USD,Deliver,78440526,2727-0606-19191919,Fully paid,905691,Payment is in progress
HSBC,105080,CitiBank HongKong,USD,Receive,12383133,2323-1010-19191919,Processing,2557023,Payment Failed
HSBC,104101,CitiBank HongKong,GBP,Receive,83018576,2424-1212-19191919,Rejected,432752,Payment Failed
