Client Name,Account ID,Legal Entity,Currency,Payment Type,Paid Amount,Payment Date,Payment Status,Pending Amount,Comments
BNY Mellon,104753,CitiBank HongKong,"EUR,",Receive,13672198,1818-0303-20202020,Fully paid,5483696,Payment is in progress
BNY Mellon,105368,CitiBank HongKong,USD,Deliver,66712732,1111-0505-19191919,Rejected,7104948,Transaction complete
BNY Mellon,109710,CitiBank HongKong,CAD,Deliver,48358581,0101-1010-19191919,Fully paid,4926726,Waiting for pending amount
HSBC,101749,CitiBank New York Branch,GBP,Deliver,38065498,1919-0404-20202020,Fully paid,4171922,Payment Failed
BNY Mellon,102573,CitiBank New York Branch,"EUR,",Deliver,1574072,1010-1010-19191919,Rejected,6697914,Payment is in progress
HSBC,102472,CitiBank New York Branch,CAD,Receive,24865929,1414-0101-20202020,Processing,3258291,Payment is in progress
DEUTSCHE BANK,104478,CitiBank HongKong,GBP,Receive,12885282,1111-1010-19191919,Processing,3564521,Payment is in progress
J P Morgan,106480,CitiBank Singapore,GBP,Deliver,31087009,2020-1111-19191919,Partially Paid,6071554,Transaction complete
DEUTSCHE BANK,107743,CitiBank Singapore,CAD,Deliver,85317013,0606-1010-19191919,Rejected,6977021,Payment Failed
HSBC,101837,CitiBank London,USD,Deliver,44140951,0101-0202-20202020,Rejected,804996,Transaction complete
DEUTSCHE BANK,102727,CitiBank Singapore,GBP,Deliver,80385839,3131-0707-19191919,Partially Paid,4303270,Payment Failed
DEUTSCHE BANK,108023,CitiBank Singapore,GBP,Receive,70167058,2121-0909-19191919,Processing,1594958,Transaction complete
J P Morgan,107759,CitiBank New York Branch,CAD,Deliver,37697702,0202-0505-20202020,Partially Paid,9765386,Transaction complete
DEUTSCHE BANK,102494,CitiBank New York Branch,USD,Receive,25834347,0505-0303-20202020,Fully paid,9430562,Transaction complete
J P Morgan,109667,CitiBank Singapore,"EUR,",Receive,86104232,2323-1212-19191919,Processing,6237642,Waiting for pending amount
J P Morgan,104914,CitiBank Singapore,"EUR,",Deliver,8101806,0202-0505-20202020,Fully paid,9407361,Payment Failed
HSBC,105533,CitiBank New York Branch,CAD,Receive,83860050,1616-1212-19191919,Partially Paid,8112966,Payment Failed
BNY Mellon,106493,CitiBank New York Branch,"EUR,",Receive,51764773,3131-0505-19191919,Fully paid,5858583,Waiting for pending amount
DEUTSCHE BANK,108052,CitiBank London,"EUR,",Deliver,4441162,1010-0909-19191919,Rejected,1233839,Payment Failed
J P Morgan,102519,CitiBank London,CAD,Receive,64466508,3131-0101-20202020,Processing,9130512,Transaction complete
HSBC,106321,CitiBank HongKong,GBP,Receive,93868532,2020-0909-19191919,Fully paid,9651687,Transaction complete
BNY Mellon,108403,CitiBank Singapore,"EUR,",Deliver,94818601,0707-0303-20202020,Fully paid,9530932,Payment Failed
J P Morgan,105825,CitiBank New York Branch,GBP,Deliver,59528374,0101-0303-20202020,Partially Paid,2236399,Waiting for pending amount
J P Morgan,105635,CitiBank HongKong,"EUR,",Deliver,65642526,1313-0202-20202020,Processing,6658499,Transaction complete
DEUTSCHE BANK,109270,CitiBank New York Branch,CAD,Receive,97434738,1515-0606-19191919,Rejected,4354401,Waiting for pending amount
J P Morgan,105983,CitiBank HongKong,"EUR,",Receive,5810949,0303-1212-19191919,Partially Paid,9536333,Payment is in progress
DEUTSCHE BANK,100250,CitiBank New York Branch,GBP,Receive,61588744,2828-0404-19191919,Rejected,4272161,Payment Failed
J P Morgan,108042,CitiBank London,USD,Deliver,75427827,1616-0909-19191919,Processing,6092497,Payment is in progress
J P Morgan,101092,CitiBank London,USD,Receive,88885146,2929-0202-20202020,Rejected,5788231,Payment is in progress
HSBC,106787,CitiBank New York Branch,USD,Receive,26951770,2424-0101-20202020,Rejected,4085675,Transaction complete
BNY Mellon,103680,CitiBank Singapore,"EUR,",Receive,15516562,0101-0707-19191919,Processing,244092,Payment Failed
BNY Mellon,106746,CitiBank Singapore,"EUR,",Receive,12024449,2626-0707-19191919,Fully paid,8417587,Payment is in progress
HSBC,103273,CitiBank HongKong,GBP,Receive,55542336,0202-1212-19191919,Fully paid,3543543,Transaction complete
J P Morgan,103357,CitiBank HongKong,CAD,Deliver,20072325,0505-1212-19191919,Processing,2415040,Payment Failed
HSBC,101768,CitiBank London,GBP,Receive,9081801,1313-0909-19191919,Processing,2263018,Transaction complete
HSBC,108682,CitiBank New York Branch,"EUR,",Deliver,71293603,0101-1212-19191919,Rejected,8758491,Payment is in progress
J P Morgan,107086,CitiBank HongKong,USD,Receive,42146063,0404-1212-19191919,Processing,2530098,Transaction complete
HSBC,104279,CitiBank Singapore,GBP,Receive,20268074,2828-1111-19191919,Processing,3002543,Payment Failed
