Client Name,Account ID,Legal Entity,Currency,Payment Type,Paid Amount,Payment Date,Payment Status,Pending Amount,Comments
HSBC,106176,CitiBank New York Branch,GBP,Receive,65913003,2727-0505-20202020,Partially Paid,6354731,Transaction complete
J P Morgan,105666,CitiBank Singapore,"EUR,",Receive,20369969,1010-0505-20202020,Partially Paid,6172093,Payment Failed
HSBC,102662,CitiBank HongKong,CAD,Receive,90721130,2626-1010-19191919,Fully paid,7568415,Waiting for pending amount
J P Morgan,106355,CitiBank Singapore,"EUR,",Deliver,93595742,2424-0505-19191919,Fully paid,4848065,Payment is in progress
J P Morgan,108715,CitiBank HongKong,CAD,Deliver,12131082,2727-0707-19191919,Fully paid,7182700,Payment is in progress
HSBC,107308,CitiBank London,GBP,Receive,89381920,1818-0606-19191919,Rejected,4207579,Waiting for pending amount
HSBC,108634,CitiBank London,CAD,Deliver,91579802,0808-0909-19191919,Partially Paid,7911055,Payment Failed
BNY Mellon,108202,CitiBank HongKong,GBP,Receive,14229043,0202-0606-19191919,Fully paid,5010083,Waiting for pending amount
DEUTSCHE BANK,100029,CitiBank HongKong,"EUR,",Deliver,68494841,1313-0606-19191919,Rejected,2015474,Payment Failed
DEUTSCHE BANK,100839,CitiBank HongKong,USD,Deliver,69160017,2626-0404-19191919,Partially Paid,5359738,Waiting for pending amount
HSBC,103551,CitiBank HongKong,USD,Receive,90475041,2222-0707-19191919,Partially Paid,9826016,Waiting for pending amount
BNY Mellon,103793,CitiBank HongKong,USD,Deliver,564095,2020-0707-19191919,Processing,2515532,Waiting for pending amount
DEUTSCHE BANK,106960,CitiBank London,GBP,Deliver,21358402,2424-0808-19191919,Rejected,8563328,Waiting for pending amount
J P Morgan,107494,CitiBank London,CAD,Deliver,98721660,2828-0707-19191919,Processing,9687439,Payment Failed
BNY Mellon,104821,CitiBank HongKong,CAD,Receive,75494155,1515-0909-19191919,Processing,6066158,Payment Failed
J P Morgan,105178,CitiBank Singapore,CAD,Deliver,20390147,2525-0303-20202020,Partially Paid,4416193,Waiting for pending amount
HSBC,109843,CitiBank Singapore,GBP,Receive,55900454,2323-0707-19191919,Rejected,911738,Payment is in progress
HSBC,105873,CitiBank New York Branch,USD,Deliver,24953804,2525-0101-20202020,Fully paid,3557649,Transaction complete
BNY Mellon,107013,CitiBank London,GBP,Receive,65097472,2121-0303-19191919,Partially Paid,1253714,Payment Failed
J P Morgan,105425,CitiBank London,CAD,Deliver,79175030,2424-0606-19191919,Partially Paid,714232,Payment Failed
