Client Name,Account ID,Legal Entity,Currency,Payment Type,Paid Amount,Payment Date,Payment Status,Pending Amount,Comments
BNY Mellon,102618,CitiBank Singapore,USD,Receive,68055954,0505-0202-20202020,Rejected,1148367,Payment Failed
J P Morgan,103825,CitiBank London,USD,Receive,62108523,0303-0909-19191919,Partially Paid,8699707,Transaction complete
DEUTSCHE BANK,100925,CitiBank London,USD,Deliver,48000283,0202-0303-20202020,Partially Paid,3172283,Transaction complete
HSBC,100428,CitiBank Singapore,GBP,Deliver,70233707,0404-0707-19191919,Fully paid,9215034,Transaction complete
HSBC,102567,CitiBank New York Branch,GBP,Deliver,66036717,0606-0505-19191919,Processing,4928465,Waiting for pending amount
HSBC,109001,CitiBank HongKong,GBP,Receive,46703363,2424-0707-19191919,Fully paid,1201735,Payment Failed
BNY Mellon,109476,CitiBank New York Branch,USD,Receive,92504219,1616-1212-19191919,Processing,5603878,Waiting for pending amount
BNY Mellon,103207,CitiBank New York Branch,CAD,Deliver,81605532,2626-0606-19191919,Partially Paid,6249514,Payment is in progress
DEUTSCHE BANK,101137,CitiBank HongKong,GBP,Deliver,100399,2121-0808-19191919,Fully paid,1334365,Waiting for pending amount
J P Morgan,108303,CitiBank New York Branch,USD,Receive,43938240,0404-0101-20202020,Partially Paid,6243738,Payment is in progress
HSBC,106221,CitiBank HongKong,USD,Receive,39652413,1313-0808-19191919,Fully paid,4561320,Payment is in progress
J P Morgan,107973,CitiBank New York Branch,GBP,Deliver,33975344,1313-0505-20202020,Processing,679075,Transaction complete
DEUTSCHE BANK,105724,CitiBank New York Branch,USD,Deliver,55796822,1111-0505-20202020,Partially Paid,7722400,Transaction complete
HSBC,106349,CitiBank London,USD,Deliver,3297764,2525-1010-19191919,Processing,7386287,Payment Failed
DEUTSCHE BANK,100063,CitiBank London,USD,Deliver,15199375,2828-0303-20202020,Fully paid,4057897,Payment is in progress
BNY Mellon,103078,CitiBank HongKong,CAD,Deliver,4979503,1414-0909-19191919,Processing,7466061,Waiting for pending amount
J P Morgan,103960,CitiBank New York Branch,GBP,Receive,95808368,2323-0303-20202020,Partially Paid,2582981,Payment Failed
HSBC,108932,CitiBank London,GBP,Deliver,32846598,1717-0909-19191919,Processing,4970221,Waiting for pending amount
